MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
50,RM,3.9318256327243257,8.160803920954665,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,"(0.999, 5.0]","(5.0, 7.0]",1947,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,5.746203190540153,Unf,0.0,408,720,GasA,TA,Y,SBrkr,6.580639137284949,564,No Feature,7.158513997329321,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1948.0,Unf,1,240,TA,TA,Y,0.0,3.58351893845611,0.0,No Feature,0.0,No Feature,NoPool,MnWw,NoFeature,No Feature,4,2009,WD,Normal,11.608244735642321
20,RL,4.605170185988092,9.380251908693456,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,"(6.0, 7.0]","(0.999, 5.0]",1990,1990,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1424,1424,GasA,Ex,Y,SBrkr,7.274479558773871,0,No Feature,7.274479558773871,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,1990.0,RFn,2,500,TA,TA,Y,0.0,3.5553480614894135,0.0,Has Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2009,WD,Normal,12.103491596905931
20,RL,3.713572066704308,9.523251498473739,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,"(0.999, 5.0]","(0.999, 5.0]",1962,1962,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1140,1140,GasA,TA,Y,SBrkr,7.436617265234227,0,No Feature,7.436617265234227,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(7.0, 8.0]",Min2,"(-0.001, 1.0]",TA,Attchd,1962.0,RFn,1,349,TA,TA,Y,0.0,3.4339872044851463,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,3,2007,WD,Normal,11.87688084212164
20,RL,4.31035159796699,9.433003808053515,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(0.999, 5.0]",1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,ALQ,6.040254711277414,Rec,5.726847747587197,375,1100,GasA,TA,Y,SBrkr,7.00397413672268,0,No Feature,7.00397413672268,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",Po,Attchd,1960.0,RFn,1,312,TA,TA,Y,5.87493073085203,0.0,0.0,No Feature,0.0,No Feature,NoPool,GdWo,NoFeature,No Feature,4,2008,WD,Normal,11.856522261533737
60,RL,4.405905908463825,9.57254997141339,Pave,NoAlley,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,"(6.0, 7.0]","(0.999, 5.0]",1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,4.859812404361672,Gd,TA,CBlock,Gd,TA,Gd,GLQ,6.97166860472579,Unf,0.0,92,1157,GasA,Ex,Y,SBrkr,7.074116816197362,882,No Feature,7.631916513071252,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",Gd,Attchd,1988.0,Fin,2,454,TA,TA,Y,4.110873864173311,4.02535169073515,0.0,No Feature,5.043425116919247,No Feature,NoPool,NoFence,NoFeature,No Feature,4,2007,WD,Normal,12.531776395271262
20,RL,4.330733340286331,9.018089684104343,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(5.0, 6.0]","(5.0, 7.0]",1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,5.564520407322694,TA,TA,CBlock,Gd,TA,No,Rec,6.669498089857879,Unf,0.0,305,1092,GasA,Ex,Y,SBrkr,6.996681488176539,0,No Feature,6.996681488176539,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,1964.0,RFn,2,504,TA,Gd,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,7,2008,WD,Normal,11.884495917930655
30,RL,4.219507705176107,8.63141433550626,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1925,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.150602768446279,Unf,0.0,396,864,GasA,TA,N,FuseA,6.762729506931879,0,No Feature,6.762729506931879,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,NoGarage,NoGarage,NoGarage,0,0,NoGarage,NoGarage,Y,0.0,0.0,4.574710978503383,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,4,2008,WD,Normal,11.49273296168228
20,RL,4.430816798843313,9.251578279992428,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,"(5.0, 6.0]","(0.999, 5.0]",2009,2009,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,3.6109179126442243,Unf,0.0,1176,1212,GasA,Ex,Y,SBrkr,7.10085190894405,0,No Feature,7.10085190894405,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,2009.0,RFn,2,460,TA,TA,Y,4.61512051684126,3.1354942159291497,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,3,2010,WD,Normal,12.133507329024972
60,FV,4.290459441148391,9.0642735958414,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,"(6.0, 7.0]","(0.999, 5.0]",2009,2009,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.71295620067707,Unf,0.0,78,900,GasA,Ex,Y,SBrkr,6.838405200847344,920,No Feature,7.52456122628536,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",TA,Attchd,2009.0,RFn,2,644,TA,TA,Y,5.1298987149230735,4.6913478822291435,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,7,2009,New,Partial,12.439875187430008
20,RL,3.784189633918261,9.515543058145953,Pave,NoAlley,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(0.999, 5.0]",1995,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,ALQ,6.57507584059962,Unf,0.0,274,990,GasA,Ex,Y,SBrkr,6.898714534329988,0,No Feature,6.898714534329988,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,1996.0,Unf,2,576,TA,TA,Y,5.41610040220442,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,7,2006,WD,Normal,11.957617696467539
60,RL,4.409966003363123,9.296609807128359,Pave,NoAlley,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,"(5.0, 6.0]","(5.0, 7.0]",1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,5.0369526024136295,TA,TA,CBlock,Gd,TA,No,GLQ,5.937536205082426,Unf,0.0,311,689,GasA,Ex,Y,SBrkr,6.536691597591305,703,No Feature,7.239214973779806,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,1977.0,Fin,1,299,TA,TA,Y,0.0,3.6109179126442243,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,Shed,Has Feature,3,2010,WD,Normal,11.993813394724253
20,RL,4.290459441148391,9.211539652551664,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1957,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,4.174387269895637,TA,TA,CBlock,TA,TA,No,BLQ,5.8888779583328805,Unf,0.0,710,1070,GasA,TA,Y,SBrkr,7.1204443723924875,0,No Feature,7.1204443723924875,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",Gd,"(5.0, 6.0]",Min1,"(-0.001, 1.0]",Fa,Attchd,1957.0,Unf,1,447,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,5,2006,WD,Normal,11.808955099378537
20,RL,4.189654742026425,9.042040056544483,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,"(6.0, 7.0]","(0.999, 5.0]",2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.58724865840025,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.853299093186078,Unf,0.0,490,1436,GasA,Ex,Y,SBrkr,7.270312886079025,0,No Feature,7.270312886079025,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(7.0, 8.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,2004.0,Unf,2,484,TA,TA,Y,4.941642422609304,4.59511985013459,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,4,2008,WD,Normal,12.25486757159303
70,RM,4.060443010546419,9.20099685697303,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,"(0.999, 5.0]","(0.999, 5.0]",1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,686,686,GasA,Fa,N,SBrkr,6.698268054115413,518,No Feature,7.192182058713246,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(7.0, 8.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1940.0,Unf,1,210,TA,TA,Y,0.0,5.153291594497779,4.110873864173311,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,9,2006,WD,Family,11.580593459194764
50,RL,4.497584975308154,9.658928824466434,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,"(6.0, 7.0]","(7.0, 9.0]",1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.746203190540153,Gd,Gd,CBlock,TA,TA,No,BLQ,5.834810737062605,Unf,0.0,457,798,GasA,Ex,Y,SBrkr,7.037027614686276,817,No Feature,7.578145472419466,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(7.0, 8.0]",Typ,"(1.0, 3.0]",TA,Attchd,1939.0,Unf,2,431,TA,TA,Y,0.0,4.787491742782046,5.017279836814924,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2008,WD,Normal,12.649157827477366
120,RL,3.784189633918261,8.010027528481734,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,"(6.0, 7.0]","(0.999, 5.0]",2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.833213344056216,Gd,TA,PConc,Gd,TA,Av,GLQ,2.833213344056216,Unf,0.0,1232,1248,GasA,Ex,Y,SBrkr,7.130098510125578,0,No Feature,7.130098510125578,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",Gd,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,2005.0,Fin,2,438,TA,TA,Y,4.6913478822291435,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,3,2006,New,Partial,12.027191164883384
20,RL,4.30406509320417,9.103979355984773,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,"(6.0, 7.0]","(0.999, 5.0]",2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,1498,1498,GasA,Ex,Y,SBrkr,7.312553498102598,0,No Feature,7.312553498102598,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",Gd,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,2006.0,RFn,2,675,TA,TA,Y,5.863631175598097,3.5263605246161616,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,4,2006,New,Partial,12.230282214644559
60,RL,4.237963789997018,8.995784837848506,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,"(5.0, 6.0]","(0.999, 5.0]",2002,2002,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1010,1010,GasA,Ex,Y,SBrkr,6.918695219020472,1257,No Feature,7.7266536648476425,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(3.0, 8.0]","(-0.001, 1.0]",Gd,"(7.0, 8.0]",Typ,"(-0.001, 1.0]",TA,BuiltIn,2002.0,RFn,2,390,TA,TA,Y,4.795790545596741,3.8501476017100584,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,12,2009,ConLI,Normal,12.206077645517674
60,RL,4.454347296253507,9.348013177101256,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,"(5.0, 6.0]","(5.0, 7.0]",1975,1975,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,6.311734809152915,Unf,0.0,163,713,GasA,TA,Y,SBrkr,6.699500340161678,741,No Feature,7.347943823148687,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",TA,Attchd,1975.0,RFn,2,434,TA,TA,Y,5.3471075307174685,5.342334251964811,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,2,2006,WD,Normal,12.100161978566867
20,RL,4.2626798770413155,9.259225769705994,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.263398262591624,LwQ,5.198497031265826,160,864,GasA,Gd,Y,SBrkr,6.762729506931879,0,No Feature,6.762729506931879,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1989.0,Unf,2,576,TA,TA,Y,5.37989735354046,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,3,2009,WD,Abnorml,11.48247656671073
20,RL,4.6443908991413725,9.508442961755847,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,"(7.0, 10.0]","(0.999, 5.0]",2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,6.827629234502852,Ex,TA,PConc,Ex,TA,Gd,GLQ,4.04305126783455,Unf,0.0,2336,2392,GasA,Ex,Y,SBrkr,7.780303087908373,0,No Feature,7.780303087908373,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Ex,"(7.0, 8.0]",Typ,"(-0.001, 1.0]",Ex,Attchd,2003.0,Fin,3,968,TA,TA,Y,5.517452896464707,4.663439094112067,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,6,2009,WD,Normal,12.864242696187505
160,RM,3.091042453358316,7.427144133408616,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,"(0.999, 5.0]","(0.999, 5.0]",1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,4.962844630259907,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,630,630,GasA,TA,Y,SBrkr,6.447305862541213,672,No Feature,7.172424577124845,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1991.0,Unf,1,280,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2009,COD,Abnorml,11.626263078808801
60,RL,4.418840607796598,9.205428327615163,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,"(6.0, 7.0]","(0.999, 5.0]",1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.673323267171493,Gd,TA,PConc,Gd,TA,No,GLQ,6.338594078203183,Unf,0.0,638,1203,GasA,Ex,Y,SBrkr,7.102499355774649,1306,No Feature,7.83241092718792,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(3.0, 8.0]","(-0.001, 1.0]",Gd,"(8.0, 14.0]",Typ,"(-0.001, 1.0]",TA,Attchd,1995.0,RFn,3,721,TA,TA,Y,5.41610040220442,4.74493212836325,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,6,2007,WD,Abnorml,12.577639650232573
160,RM,3.091042453358316,7.533693709848633,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,"(5.0, 6.0]","(5.0, 7.0]",1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,4.852030263919617,TA,TA,CBlock,TA,TA,No,Rec,5.7745515455444085,Unf,0.0,162,483,GasA,TA,Y,SBrkr,6.182084906716632,504,No Feature,6.895682697747868,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1987.0,Unf,1,280,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,9,2008,WD,Normal,11.571203807011969
20,RL,4.2626798770413155,9.050406334059858,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,"(0.999, 5.0]","(0.999, 5.0]",1967,1967,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.736966958001855,Unf,0.0,70,912,GasA,TA,Y,SBrkr,6.816735880594968,0,No Feature,6.816735880594968,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",Fa,Detchd,1974.0,Unf,1,336,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,5,2010,WD,Normal,11.736077016252437
120,RL,3.784189633918261,8.065579427282092,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,"(6.0, 7.0]","(0.999, 5.0]",2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.833213344056216,Gd,TA,PConc,Gd,TA,Av,GLQ,2.833213344056216,Unf,0.0,1357,1373,GasA,Ex,Y,SBrkr,7.349873704738337,0,No Feature,7.349873704738337,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",Gd,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",TA,Attchd,2005.0,Fin,2,430,TA,TA,Y,4.969813299576001,3.044522437723423,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2009,WD,Normal,12.167856627501678
20,RL,4.30406509320417,9.078065332666364,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(5.0, 6.0]","(5.0, 7.0]",1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3981627015177525,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1194,1194,GasA,TA,Y,SBrkr,7.085901464365611,0,No Feature,7.085901464365611,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,1959.0,RFn,1,312,TA,TA,Y,0.0,0.0,4.795790545596741,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,4,2010,WD,Normal,11.904974309480183
60,RL,5.1647859739235145,9.625029474611878,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,"(7.0, 10.0]","(0.999, 5.0]",1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,6.2285110035911835,Gd,TA,PConc,Gd,TA,No,GLQ,6.536691597591305,Unf,0.0,773,1462,GasA,Ex,Y,SBrkr,7.307202314764738,1304,No Feature,7.9355873855892,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(3.0, 8.0]","(-0.001, 1.0]",Ex,"(8.0, 14.0]",Typ,"(-0.001, 1.0]",TA,Attchd,1995.0,Fin,3,810,TA,TA,Y,0.0,4.990432586778736,5.313205979041787,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,7,2009,WD,Normal,12.90669432231532
160,RM,3.091042453358316,7.427144133408616,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,"(5.0, 6.0]","(0.999, 5.0]",1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,5.697093486505405,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,483,483,GasA,TA,Y,SBrkr,6.182084906716632,504,No Feature,6.895682697747868,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",Po,Attchd,1972.0,Unf,1,288,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,6,2006,WD,Normal,11.456365695436427
20,RL,4.330733340286331,9.273409063443166,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1976,1976,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,5.209486152841421,ALQ,6.569481420414296,0,894,GasA,TA,Y,SBrkr,6.796823718274855,0,No Feature,6.796823718274855,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Attchd,1976.0,Unf,1,308,TA,TA,Y,5.902633333401366,0.0,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,2,2010,WD,Normal,11.761354623750297
60,RL,4.331610148759865,8.968523555396352,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,"(5.0, 6.0]","(0.999, 5.0]",2002,2002,Gable,CompShg,VinylSd,VinylSd,NoMasonry,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.439350371100098,Unf,0.0,235,860,GasA,Ex,Y,SBrkr,6.7580945044277305,1100,No Feature,7.581209826196346,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(3.0, 8.0]","(-0.001, 1.0]",Gd,"(7.0, 8.0]",Typ,"(1.0, 3.0]",TA,BuiltIn,2002.0,Fin,2,440,TA,TA,Y,5.666426688112432,3.8918202981106265,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2010,WD,Normal,12.285350445351659
